ts_utc,ticker,city,band,yes_bid,yes_ask,no_bid,no_ask,volume,kmia_obs,nyc_obs
2026-08-29T15:33Z,KXHIGHNY-26AUG30-B88.5,NY,B88.5,0.02,0.03,0.97,0.98,60,81,71
2026-08-29T15:33Z,KXHIGHNY-26AUG30-T82,NY,T82,0.30,0.31,0.69,0.70,323,81,71
2026-08-29T15:33Z,KXHIGHNY-26AUG30-T89,NY,T89,0.01,0.02,0.98,0.99,598,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG29-B80.5,CHI,B80.5,0.46,0.47,0.53,0.54,4581,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG29-B82.5,CHI,B82.5,0.39,0.40,0.60,0.61,4041,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG29-B84.5,CHI,B84.5,0.04,0.05,0.95,0.96,4538,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG29-B86.5,CHI,B86.5,0.00,0.01,0.99,1.00,2458,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG29-T80,CHI,T80,0.09,0.12,0.88,0.91,8217,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG29-T87,CHI,T87,0.00,0.01,0.99,1.00,848,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG30-B86.5,CHI,B86.5,0.31,0.35,0.65,0.69,29,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG30-B88.5,CHI,B88.5,0.30,0.31,0.69,0.70,83,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG30-B90.5,CHI,B90.5,0.07,0.09,0.91,0.93,25,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG30-B92.5,CHI,B92.5,0.01,0.02,0.98,0.99,94,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG30-T86,CHI,T86,0.26,0.27,0.73,0.74,269,81,71
2026-08-29T15:47Z,KXHIGHCHI-26AUG30-T93,CHI,T93,0.01,0.02,0.98,0.99,604,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG29-B90.5,DEN,B90.5,0.38,0.39,0.61,0.62,1672,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG29-B92.5,DEN,B92.5,0.47,0.50,0.50,0.53,1495,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG29-B94.5,DEN,B94.5,0.02,0.04,0.96,0.98,2922,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG29-B96.5,DEN,B96.5,0.00,0.01,0.99,1.00,876,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG29-T90,DEN,T90,0.07,0.13,0.87,0.93,1788,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG29-T97,DEN,T97,0.00,0.01,0.99,1.00,427,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG30-B85.5,DEN,B85.5,0.23,0.27,0.73,0.77,10,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG30-B87.5,DEN,B87.5,0.32,0.35,0.65,0.68,19,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG30-B89.5,DEN,B89.5,0.22,0.27,0.73,0.78,0,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG30-B91.5,DEN,B91.5,0.05,0.09,0.91,0.95,36,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG30-T85,DEN,T85,0.04,0.07,0.93,0.96,46,81,71
2026-08-29T15:47Z,KXHIGHDEN-26AUG30-T92,DEN,T92,0.02,0.04,0.96,0.98,1,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG29-B88.5,MIA,B88.5,0.19,0.20,0.80,0.81,9905,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG29-B90.5,MIA,B90.5,0.47,0.48,0.52,0.53,9717,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG29-B92.5,MIA,B92.5,0.09,0.11,0.89,0.91,8908,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG29-B94.5,MIA,B94.5,0.00,0.01,0.99,1.00,6109,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG29-T88,MIA,T88,0.16,0.19,0.81,0.84,12734,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG29-T95,MIA,T95,0.00,0.01,0.99,1.00,1586,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG30-B87.5,MIA,B87.5,0.03,0.04,0.96,0.97,56,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG30-B89.5,MIA,B89.5,0.30,0.31,0.69,0.70,83,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG30-B91.5,MIA,B91.5,0.44,0.49,0.51,0.56,242,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG30-B93.5,MIA,B93.5,0.15,0.16,0.84,0.85,132,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG30-T87,MIA,T87,0.03,0.05,0.95,0.97,4,81,71
2026-08-29T15:47Z,KXHIGHMIA-26AUG30-T94,MIA,T94,0.01,0.02,0.98,0.99,247,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG29-B79.5,NY,B79.5,0.31,0.34,0.66,0.69,7687,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG29-B81.5,NY,B81.5,0.05,0.07,0.93,0.95,13885,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG29-B83.5,NY,B83.5,0.00,0.01,0.99,1.00,3178,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG29-B85.5,NY,B85.5,0.00,0.01,0.99,1.00,2876,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG29-T79,NY,T79,0.60,0.61,0.39,0.40,12031,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG29-T86,NY,T86,0.00,0.01,0.99,1.00,2299,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG30-B82.5,NY,B82.5,0.40,0.43,0.57,0.60,63,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG30-B84.5,NY,B84.5,0.15,0.16,0.84,0.85,43,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG30-B86.5,NY,B86.5,0.05,0.06,0.94,0.95,109,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG30-B88.5,NY,B88.5,0.00,0.02,0.98,1.00,818,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG30-T82,NY,T82,0.32,0.33,0.67,0.68,335,81,71
2026-08-29T15:47Z,KXHIGHNY-26AUG30-T89,NY,T89,0.00,0.01,0.99,1.00,904,81,71
